cap,via
20129,Abamonti Giuseppe (Via)
20131,Abano (Via)
20124,Abbadesse (Via)
20158,Abba Giuseppe Cesare (Via)
20125,Abbazia (Via)
20142,Abbiategrasso (Piazza)
20148,Abbiati Filippo (Via)
20145,Abbondio Sangiorgio (Via)
20152,Abeti (Via degli)
20137,Abetone (Via)
20131,Abruzzi (Viale)
20131,Accademia (Via)
20155,Accursio Francesco (Piazzale)
20151,Accursio Francesco (Piazzale)
20156,Accursio Francesco (Piazzale)
20161,Acerbi Enrico (Via)
20158,Acerenza (Via)
20151,Achille (Via)
20162,Achillini Claudio (Via)
20139,Adamello (Via)
20143,Adami Giuseppe (Via)
20124,Adda (Via)
20131,Adelchi (Via)
20135,Adige (Via)
20133,Adigrat (Piazza)
20128,Adriano (Via)
20162,Adriatico (Via)
20123,Affari (Piazza degli)
20161,Affori (Viale)
20145,Africa (Largo)
20141,Agilulfo (Via)
20121,Agnello (Via)
20135,Agnesi Maria Gaetana (Via)
20127,Agordat (Via)
20148,Agrigento (Via)
20141,Agrippa Marco Vipsanio (Piazza)
20154,Agudio Tommaso (Via)
20141,Aicardo (Via)
20156,Ailanti (Via degli)
20153,Airaghi Gaetano (Via)
20159,Airolo (Via)
20133,Ajaccio (Via)
20156,Ajraghi Cesare (Via)
20159,Ala (Via)
20141,Alamanni Luigi (Via)
20156,Alassio (Via)
20149,Alatri (Via)
20149,Albani Francesco (Via)
20148,Albani Francesco (Via)
20153,Albenga (Via)
20155,Albenza (Via)
20161,Alberico da Barbiano (Via)
20152,Alberico da Rosciate (Via)
20125,Albertario Davide (Via) 
20149,Alberti Leon Battista (Via)
20148,Albertinelli Mariotto (Via)
20154,Albertini Alfredo (Via)
20121,Albertini Luigi (Via)
20152,Alberto da Gandino (Via)
20145,Alberto da Giussano (Via)
20156,Albertolli Giocondo (Via)
20149,Alberto Mario (Via)
20125,Albini Bisi Sofia (Via)
20139,Albini Franco (Via)
20147,Albino (Via)
20141,Albinoni Tomaso (Via)
20152,Albona (Via)
20122,Albricci Alberico (Via)
